,Title,Published_date,Views,Likes,Comments,Month,URL
0,Pizza Social Experiment w/ Papa John,2022-09-22,2855,218,117,Sep,https://www.youtube.com/watch?v=kIm4hQ5YVHc
1,Why A Prenup Is The Best Thing You Can Do For Your Marriage,2022-09-21,64272,4274,916,Sep,https://www.youtube.com/watch?v=RZd8vSjI0A4
2,Kim Kardashian Gets Slammed By Her Fans For Supporting Hillary Clinton,2022-09-20,49274,1886,623,Sep,https://www.youtube.com/watch?v=h86Fyr8ZqHo
3,"Elon Musk Exposing NASA - Why Entrepreneurs Do It Better, Cheaper & Faster",2022-09-19,54066,4650,757,Sep,https://www.youtube.com/watch?v=Tt8VXm4bq7o
4,What Andrew Tate Will NEVER Compromise On,2022-09-15,195924,6857,965,Sep,https://www.youtube.com/watch?v=nPygETKpfRw
5,Andrew Tate Reveals The Keys To Being The Best Man You Can Be,2022-09-15,253733,12471,1177,Sep,https://www.youtube.com/watch?v=SEorivjtY0M
6,‘He’s Not Some Mad Man. He’s A Very Logical Actor’ - Andrew Tate On Putin,2022-09-14,349046,13795,2084,Sep,https://www.youtube.com/watch?v=sZrwHLfWYIw
7,'He's Enemy Of The State Number ONE!' - Andrew Tate Reveals His True Thoughts On Elon Musk,2022-09-14,428496,15537,1390,Sep,https://www.youtube.com/watch?v=3zmRfvFE58w
8,Andrew Tate Reveals The Real Reason He Was Banned,2022-09-13,540463,23490,4351,Sep,https://www.youtube.com/watch?v=TY6k6XuZ41E
9,What Most People Get Wrong About Competition,2022-09-12,60769,4902,441,Sep,https://www.youtube.com/watch?v=ohx72uTAO-g
10,"'Honor, Respect, Dignity' - Values & Principles That Made Shaq The Most Dominant Player Of All Time",2022-09-10,57403,1204,170,Sep,https://www.youtube.com/watch?v=EEBiTLKycRA
11,'I Was The KING Of Intimidation' - How Shaq Became The Most Feared Player In NBA History,2022-09-09,28513,1062,126,Sep,https://www.youtube.com/watch?v=nlgQxGiv-mA
12,'He Was Alien Like' - Shaq Responds To Controversial Kobe Question,2022-09-09,48339,1792,183,Sep,https://www.youtube.com/watch?v=cR3XskLT5FU
13,How the Trillion Dollar Art Industry Works & Why Billionaires Use It To Avoid Taxes,2022-09-07,115650,4617,773,Sep,https://www.youtube.com/watch?v=yXZX07Ei9YU
14,Best LIVE Conference For Entrepreneurs - VAULT 2022 with Patrick Bet-David,2022-09-06,15303,689,80,Sep,https://www.youtube.com/watch?v=hWgrE2inxUc
15,The Age That Scares Millions Of People,2022-09-05,91618,7351,639,Sep,https://www.youtube.com/watch?v=rXAM16w62X4
16,10 Reasons To Start A Business During A Recession,2022-08-31,113552,7145,715,Aug,https://www.youtube.com/watch?v=tG25IJGESLE
17,Jamie Dimon Warning About Recession - “ABC’s of Decay”,2022-08-29,134557,8754,546,Aug,https://www.youtube.com/watch?v=TvFkVvmmpwI
18,Shocking Truth About The College Monopoly System,2022-08-24,256118,18935,2284,Aug,https://www.youtube.com/watch?v=2n0OTyU50cY
19,Call An Emergency Meeting,2022-08-22,121865,6321,559,Aug,https://www.youtube.com/watch?v=B4myL_4o-Jc
20,'He's Not Going Anywhere For A While' - Patrick Bet-David On The Future Of Andrew Tate,2022-08-17,288734,10433,1204,Aug,https://www.youtube.com/watch?v=q_G1xiKA4Oc
21,Hard Skills or Soft Skills - Which Pays More?,2022-08-17,93611,3710,371,Aug,https://www.youtube.com/watch?v=hSXNd0HnUfM
22,How Great Investors Time The Market,2022-08-15,62851,3395,583,Aug,https://www.youtube.com/watch?v=oPu5sepe6ds
23,The Secret To Content Creation As An Entrepreneur In 2022,2022-08-10,180223,7319,813,Aug,https://www.youtube.com/watch?v=YrRIIPDmd5s
24,Patrick Bet-David Reacts To Rare Footage Of Himself At 22 Years Old  - Who’s Your Hero?,2022-08-08,69651,4336,600,Aug,https://www.youtube.com/watch?v=h5KMDx4zrHc
25,The Untold Truth About Your First Year In Sales - 10 Things You Need To Know,2022-08-03,133245,5292,690,Aug,https://www.youtube.com/watch?v=mS7QXT1U8dA
26,"California, This Video May Trigger You - Watch At Your Own Risk",2022-08-01,1704098,84159,13571,Aug,https://www.youtube.com/watch?v=eu16QyvgBac
27,Don’t Let A Great Resume Confuse You - It Could Destroy Your Business,2022-07-27,53881,2583,688,Jul,https://www.youtube.com/watch?v=DP92Cq_lu5w
28,'Winning In Any Economy Is What Creates Wealth' - The Next 2 Years Will Prove Everything,2022-07-26,120696,3892,571,Jul,https://www.youtube.com/watch?v=PMgcrQicc6E
29,Why Being Lukewarm Destroys Businesses,2022-07-25,96502,6316,495,Jul,https://www.youtube.com/watch?v=BVzibugUokw
30,Another 2008 Housing Crash - Or Worse? Real Estate Bubble Explained,2022-07-20,1029509,30739,4455,Jul,https://www.youtube.com/watch?v=GccE2SuJvd0
31,Why Only A Few People Make It To The Top,2022-07-18,103327,7485,566,Jul,https://www.youtube.com/watch?v=3rXdBu7lIyw
32,The TRUTH About Gun Control - Will It Really Stop Mass Shootings?,2022-07-13,73023,3882,1348,Jul,https://www.youtube.com/watch?v=7paQC_jJzxQ
33,The TRUTH About Leadership,2022-07-11,39807,2238,273,Jul,https://www.youtube.com/watch?v=5_lalsq0sGk
34,Reaction To Joe Rogan REFUSING To Host Trump On His Podcast,2022-07-08,412395,9434,4880,Jul,https://www.youtube.com/watch?v=gcsl6866niU
35,What To Do When An Employee Asks For A Raise,2022-07-07,65137,2193,512,Jul,https://www.youtube.com/watch?v=KmUegp9lN8I
